Strategy,CAGR(%),Vol(%),Sharpe,MaxDD(%)
"Champion (blend(port_rets_ra2, port_rets2, 1.00))",12.48,11.93,1.05,-14.5
SPY (Benchmark),8.03,13.55,0.64,-18.7
