Ticker
SPY
QQQ
IWM
EFA
EEM
XLK
XLF
XLV
XLY
XLP
XLI
XLU
XLB
XLE
TLT
IEF
LQD
HYG
GLD
SLV
DBC
USO
UNG
VNQ
BTC-USD
ETH-USD
